"id","name_en","name_ja","production_tier","region","route_scope","silhouette_key","primary_prop","companion_or_fx_layer","idle_signature","talk_signature","profile_affinity","costume_event_variants","portrait_emphasis","model_s","model_m","model_l","portrait_count"
"momiji_inubashiri","Momiji Inubashiri","犬走 椛","C","Youkai Mountain / white wolf tengu patrol","Support route","wolf ears/tail, round shield and scimitar patrol silhouette","shield / blade","ear and tail layer","ears scan opposite directions before the shield shifts","shield tap or map-pointing gesture","A/D","mountain patrol coat; off-duty scarf; storm lookout","professional caution, territorial pride, dry camaraderie","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"mononobe_no_futo","Mononobe no Futo","物部 布都","C","Senkai / Taoist","Support route","small cap, Taoist robe, plates and boat/fire geometry","plate / ritual vessel","plate orbit and flame layer","one plate spins with old-fashioned ceremony","broad archaic gesture that nearly loses a plate","A/B/D","mausoleum work; festival robe; fire ritual set","archaic confidence, literalism, competitive zeal","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"nazrin","Nazrin","ナズーリン","C","Myouren Temple circle / Shou's subordinate","Support route","mouse ears/tail, dowsing rods and pendulum triangle","dowsing rods / pendulum","tail and pendulum layer","pendulum moves while eyes remain skeptical","rods cross or point to the actual evidence","A/B","temple errands; cave search coat; market disguise","pragmatism, appraisal, understated loyalty","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"nitori_kawashiro","Nitori Kawashiro","河城 にとり","C","Youkai Mountain / kappa engineering","Support route","cap, large backpack, wrench and pipe/gadget silhouette","wrench / optical device","backpack valves and camouflage layer","one valve spins; backpack weight shifts","unfolds a schematic or demonstrates a mechanism too close","A/B/D","work overalls; rain gear; market sales set","engineering delight, sales instinct, social caution","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"nue_houjuu","Nue Houjuu","封獣 ぬえ","C","Myouren Temple circle / unidentified youkai","Support route","trident, asymmetrical wings and deliberately conflicting shape language","trident / unidentified seed","UFO/seed and shifting-wing layer","one side of the silhouette changes category","trident stays still while a companion shape lies about its form","C/D","temple casual; night scare; identified/quiet set","teasing ambiguity, loneliness, guarded affiliation","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"okina_matara","Okina Matara","摩多羅 隠岐奈","B","Secret god / Gensokyo sage","Major support/final act foil","seated divine silhouette, large fans and rectangular backdoor/mandala","fan / backdoor","door, dancers and seasonal aura layers","door aperture changes while she remains absolutely composed","fan snap changes the stage rather than her posture","B/C/D","sage formal; seasonal door sets; final-act stage","theatrical authority, testing, concealed care","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"patchouli_knowledge","Patchouli Knowledge","パチュリー・ノーレッジ","A","Scarlet Devil Mansion / Voile Library","Deep route; fighter expansion","mob cap, crescent ornament, layered robe and book block","grimoire / elemental glyph","book and glyph layer","page turns while the body barely floats","one finger marks the relevant line; breath remains economical","B/C/D","reading glasses; blanket/library set; ritual robe","dry intellect, physical limitation, private sincerity","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"ran_yakumo","Ran Yakumo","八雲 藍","C","Yakumo household / boundaries","Support route","fox ears, hat, nine-tail fan and formal shikigami posture","charm / calculation scroll","nine tail layers and formula glyph","tails move in a slow solved pattern","writes a formula in air or redirects one tail toward the task","A/B/C","household work; boundary patrol; formal shikigami","competence, calculation, household tenderness","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"reimu_hakurei","Reimu Hakurei","博麗 霊夢","A","Hakurei Shrine / Hakurei Border","Deep route; launch fighter and danmaku lead","oversized hair bow, detached sleeve masses, grounded skirt and gohei","gohei / yin-yang orb","bow, sleeves and orb layer","sleeve settles, then one bow lobe lags a pixel","small gohei lift; warmth remains logistical rather than performative","A/C/D","winter shrine coat; work apron; rain mantle","dry neutrality, irritation, restrained sincerity","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"reisen_udongein_inaba","Reisen Udongein Inaba","鈴仙・優曇華院・イナバ","B","Eientei / moon rabbit","Support route","very long rabbit ears, blazer/skirt geometry and alert military posture","finger-gun / medicine case","independent ear and wavelength layer","ears disagree about the direction before she corrects them","one ear drops while the hand delivers a precise correction","B/D","clinic assistant; lunar uniform; forest patrol","discipline, anxiety, sharp humor, relief","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"remilia_scarlet","Remilia Scarlet","レミリア・スカーレット","A","Scarlet Devil Mansion","Deep route; launch fighter","tiny body, cap, bat wings and exaggerated authority/spear line","Gungnir / parasol","wing and fate-thread layer","wings hold a throne-like triangle while one foot hovers","spear or finger makes a grand claim; body remains small and certain","B/C/D","parasol day set; throne cape; night formal","command, theatricality, private dependence","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"rin_kaenbyou","Rin Kaenbyou","火焔猫 燐","C","Palace of the Earth Spirits / Former Hell","Support route","cat ears, twin braids/tails and wheelbarrow/ghost-fire shapes","wheelbarrow / corpse cart","two tails and spirit flame layer","tail flame lifts while hands stay on the cart","leans on the handle; spirits react to the joke","D","work dress; surface visit; furnace-rescue set","cheerful morbidity, loyalty, work pride","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"rinnosuke_morichika","Rinnosuke Morichika","森近 霖之助","C","Kourindou / Forest of Magic edge","Support route","glasses, long shop coat/apron and rectangular outside-world object","unidentified tool / book","object label and lens-glint layer","adjusts glasses after examining the object, not before","turns the object to show one wrong-but-plausible function","A/B","shop work; field salvage coat; formal merchant","calm expertise, blind spots, gentle stubbornness","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"sagume_kishin","Sagume Kishin","稀神 サグメ","B","Lunar Capital","Late-game support","single wing, short lunar silhouette and hand held near the mouth","tablet / arrow motif","single wing and reversal-text layer","wing freezes whenever she almost speaks","one minimal gesture replaces a sentence; text card may reverse after","B/C/D","lunar formal; battlefield cloak; dream interference","restraint, consequence-aware tension, oblique trust","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"saki_kurokoma","Saki Kurokoma","驪駒 早鬼","C","Animal Realm / Keiga Family","Support rival","horse ears/tail, broad athletic stance and coat/wing speed wedges","kick arc / reins motif","tail and dust layer","hoof tap and forward shoulder; no dainty bounce","wide grin, thumb toward the next challenge","A/D","Keiga patrol; racing scarf; formal faction coat","straightforward rivalry, speed, respect","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"sakuya_izayoi","Sakuya Izayoi","十六夜 咲夜","A","Scarlet Devil Mansion","Deep route; launch fighter and danmaku lead","maid headpiece, triangular skirt, white apron axis and knife/watch lines","knife fan / pocket watch","headpiece, watch and knife layer","checks one minute with almost no body motion","precise hand rise; knife fan only when context warrants","A/B/D","rolled kitchen sleeves; formal tailcoat; rain service coat","professional neutrality, dry humor, private fatigue","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"sanae_kochiya","Sanae Kochiya","東風谷 早苗","A","Moriya Shrine","Deep route; launch fighter","long hair, frog/snake ornaments, open sleeves and gohei","gohei / miracle glyph","hair ornament and wind layer","ornaments move out of phase with a buoyant but controlled posture","open two-handed gesture, then earnest correction","A/B/D","Outside World casual; festival promoter; storm shrine coat","enthusiasm, cultural mismatch, sincere responsibility","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"satori_komeiji","Satori Komeiji","古明地 さとり","B","Palace of the Earth Spirits","Support route with romance-ready expansion","third-eye heart, looping cords and compact indoor posture","third eye / book","eye and cord path layer","third eye blinks before her own eyes react","cords lean toward the thought she chooses not to expose","B/C/D","palace work; animal-care apron; surface cloak","measured reading, loneliness, consent-aware restraint","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"seiga_kaku","Seiga Kaku","霍 青娥","C","Senkai-adjacent / wicked hermit","Support antagonist","ornate hairpin, long dress and body partially crossing a wall/frame","hairpin / wall chisel","wall-cut and Yoshika link layer","one edge of her body ignores the frame boundary","fan/hairpin gesture invites trouble with immaculate calm","C/D","hermit formal; mausoleum work; wall-passage set","charm, moral slipperiness, amused manipulation","2 idle","2 idle + 4 walk + 2 talk/gesture","4 boss silhouettes","3"
"shion_yorigami","Shion Yorigami","依神 紫苑","C","Poverty god / wandering; associated with Tenshi","Support route","tattered hood/dress, drooping cloth and empty negative-space aura","cracked charm / empty bowl","misfortune haze and torn-cloth layer","cloth sinks a pixel after the body already stopped","small hesitant hand; surrounding objects lose one decorative pixel","C/D","wandering rags; repaired festival set; Tenshi travel set","self-effacement, hunger, loyalty, fragile hope","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"suika_ibuki","Suika Ibuki","伊吹 萃香","B","Oni / frequent Hakurei Shrine guest","Support route; fighter expansion","oni horns, gourd, chain arcs and compact powerful stance","gourd / chain","mist and density-clone layer","takes a sip without moving the gourd level incorrectly","chain clink or mist cluster punctuates a teasing line","A/C/D","shrine guest; festival coat; mist-body battle","boisterous perception, loneliness, honest challenge","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","8–16 boss/fighter key poses","6"
"sumireko_usami","Sumireko Usami","宇佐見 菫子","B","Outside World / occultist visitor","Major support; postgame lead","glasses, occult cape/hat and smartphone/card rectangles","smartphone / ESP card","psychic object and screen layer","phone scroll and floating card move independently","pushes glasses, presents evidence, then overcommits","A/B/C/D","school uniform; dream explorer; winter Outside World","modern sarcasm, excitement, outsider vulnerability","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"suwako_moriya","Suwako Moriya","洩矢 諏訪子","C","Moriya Shrine / ancient local deity","Support route","frog-eye hat, compact crouch and iron ring circles","iron ring / frog glyph","hat-eye and water layer","hat eyes blink separately while she stays low","crouched hand gesture or one ring rolling into frame","A/C/D","shrine casual; ancient ritual; rainy field set","playful antiquity, local authority, elusive seriousness","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"tenshi_hinanawi","Tenshi Hinanawi","比那名居 天子","A","Heaven / Hinanawi clan","Deep route; launch fighter","peach hat, keystone block and long weather-sword line","Sword of Hisou / keystone","peach, stone and weather layer","hip/shoulder line boasts while the keystone stays heavy","sword points at the sky or self; one beat exposes insecurity","A/C/D","Heaven formal; street-food disguise; storm battle","arrogance, boredom, craving recognition","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"tewi_inaba","Tewi Inaba","因幡 てゐ","C","Eientei / earth rabbits","Support route","rabbit ears, compact dress and trap/coin shapes hidden near the feet","luck charm / trap / coin","ear and hidden-trap layer","ears twitch toward opportunity, not sound","coin vanishes between hands while the smile stays innocent","A/B","Eientei errands; festival vendor; forest prank set","calculation, playfulness, community longevity","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"toyostomimi_no_miko","Toyosatomimi no Miko","豊聡耳 神子","B","Senkai / Taoist leadership","Major support; fighter expansion","earmuffs, cape triangle and ritual sword/tablet line","shaku / sword","voice-wave and cape layer","earpieces pulse as multiple voices arrive","one precise cape opening frames a public declaration","B/C/D","Senkai formal; public audience; battle regalia","charisma, listening overload, strategic compassion","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","8–16 boss/fighter key poses","6"
"utsuho_reiuji","Utsuho Reiuji","霊烏路 空","B","Palace of the Earth Spirits / Blazing Fires","Support route; fighter expansion","one heavy wing, control-rod arm, cape and miniature sun circle","control rod / sun","wing, reactor eye and sun layer","reactor pulse changes while stance remains proudly open","control rod sweeps too far, then corrects with earnest focus","D","furnace work; surface coat; full reactor battle","simple confidence, dangerous scale, loyalty","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","8–16 boss/fighter key poses","6"
"watatsuki_no_toyohime","Watatsuki no Toyohime","綿月 豊姫","B","Lunar Capital / Watatsuki household","Late-game support/antagonistic guest","long lunar hair, broad refined robe and folding fan","fan / peach","spatial cut and wave layer","fan stays closed while a distant line of space shifts","fan opens one segment to end the discussion","B/C/D","lunar household formal; Earth visit; sea-parting set","courtesy, overwhelming capability, family authority","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","8–16 boss/fighter key poses","6"
"watatsuki_no_yorihime","Watatsuki no Yorihime","綿月 依姫","B","Lunar Capital / Watatsuki household","Late-game support/duel","lunar military robe, tied hair and disciplined sword silhouette","sword / divine invocation","deity crest and blade layer","breath and sword hand move in exact cadence","one formal hand sign precedes any drawn blade","B/D","lunar command; Earth duel; shrine invocation set","discipline, certainty, respectful severity","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","8–16 boss/fighter key poses","6"
"yachie_kicchou","Yachie Kicchou","吉弔 八千慧","C","Animal Realm / Kiketsu Family","Support antagonist","antlers, turtle-dragon tail and elegant command posture","fan / command seal","tail and faction-emblem layer","tail curls while the upper body remains diplomatically still","one finger or fan edge redirects the room","B/D","Kiketsu formal; negotiation cloak; battlefield command","soft-spoken control, pressure, strategic courtesy","2 idle","2 idle + 4 walk + 2 talk/gesture","4 boss silhouettes","3"
"yoshika_miyako","Yoshika Miyako","宮古 芳香","C","Seiga's jiang-shi / mausoleum","Minor support; safety-sensitive","jiang-shi cap/talisman, stiff forward arms and heavy hopping feet","forehead talisman","talisman and hunger cue layer","small rigid sway, then one delayed jaw movement","simple hand/jaw motion; humor never erases dependence or safety","C/D","mausoleum guard; repaired talisman; rain-stiff set","literal hunger, loyalty, safety-sensitive comedy","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"youmu_konpaku","Youmu Konpaku","魂魄 妖夢","A","Hakugyokurou / Netherworld","Deep route; launch fighter and danmaku lead","short hair, twin sword lines and half-phantom comma","long and short swords","half-phantom companion layer","hand checks the sheath while phantom drifts late","disciplined bow or one sharp sheath tap","A/C/D","gardening sleeves; festival hakama; mourning formal","duty, earnest confusion, restrained feeling","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
"yukari_yakumo","Yukari Yakumo","八雲 紫","B","Gensokyo sages / boundaries","Major support; ensemble and finale lead","mob cap/ribbons, parasol or fan and unmistakable gap rectangle","parasol / fan / gap","gap eyes and boundary layer","a gap opens before she visibly acknowledges it","fan closes or a border shifts instead of a large gesture","A/B/C/D","day parasol; sage formal; dream conductor set","playful distance, old responsibility, selective sincerity","2 idle + 4 walk","4 idle + 4 walk + 4 talk + 2 reaction","4–8 dramatic poses","6"
"yuugi_hoshiguma","Yuugi Hoshiguma","星熊 勇儀","C","Former Hell / oni","Support route","single horn, chains, sake bowl and broad grounded shoulders","sake bowl / fist","chain and impact layer","bowl remains perfectly level during a weight shift","open laugh, bowl offer or compact fist emphasis","A/D","Former Hell casual; feast formal; arena battle","honesty, strength, hospitality, testing respect","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"yuuka_kazami","Yuuka Kazami","風見 幽香","C","Garden of the Sun / flower fields","Support route","parasol, long hair, plaid/flower dress and sunflower vertical","parasol / flower","petal and stem layer","near-total stillness; nearby flower turns first","parasol angle changes by one step, making politeness feel dangerous","A/C/D","garden work; rain parasol; old-style dream silhouette","courtesy, menace, aesthetic patience","2 idle","2 idle + 4 walk + 2 talk/gesture","not required at launch","3"
"yuyuko_saigyouji","Yuyuko Saigyouji","西行寺 幽々子","A","Hakugyokurou / Netherworld","Deep route","mob cap, broad sleeve cloud, butterfly hem and folding fan","fan / meal tray","ghost, butterfly and sleeve layer","lower body drifts while fan stays almost still","fan arc hides a joke or briefly reveals mourning stillness","A/C/D","meal tray; deep-night mourning; festival formal","playful appetite, insight, grief beneath ease","2 idle + 4 walk + 2 interact","4 idle + 8 walk + 4 talk + 6 interact + 4 reaction","full fighter/danmaku key set","9"
